Group,Kanji,Hiragana,Viet,Status
1,財政破たん,ざいせいはたん,suy sụp tài chính,Test
1,陥る,おちいる,rơi vào (hoàn cảnh khó khăn...),Test
1,財政が破たんする,ざいせいがはたんする,"tài chính sụp đổ, suy sụp",NG
1,財政が赤字に転落する,ざいせいがあかじにてんらくする,tổn thất tài chính,Test
1,景気が低迷する,けいきがていめいする,kinh tế suy thoái (trì trệ/ sụt giảm),NG
1,景気の動向を見る,けいきのどうこうをみる,xem xu hướng kinh tế,Test
1,介入する,かいにゅうする,"can thiệp, xen vào",NG
1,～を引き下げる,～をひきさげる,"giảm xuống, hạ thấp, lùi lại",NG
1,徴収する,ちょうしゅうする,thu (thuế/ tiền),NG
1,納入する,のうにゅうする,"giao hàng;  cung cấp hàng hóa;  nộp tiền phí, tiền thuế",OK
1,資金を運用する,しきんをうんようする,sử dụng tiền vốn,NG
1,～を引き起こす,～をひきおこす,"gây ra, dẫn tới, kéo theo ~",NG
1,インフレ,いんふれ,lạm phát,NG
1,デフレ,でふれ,giảm phát,NG
1,採算,さいさん,lợi nhuận/lãi,OK
1,採算が合う/採算が取れる,さいさんがあう／さいさんがとれる,có lãi,NG
1,収支の均衡を図る,しゅうしのきんこうをはかる,tìm cách cân bằng thu chi,NG
1,内訳,うちわけ,bảng kê chi tiết,Test
1,費用の内訳を見る,ひようのうちわけをみる,xem bảng kê chi tiết chi phí,NG
1,多額,たがく,khoản tiền lớn,Test
1,負債,ふさい,khoản nợ,NG
1,抱える,かかえる,vướng phải; mắc phải; đối mặt với. ôm; cầm trong tay,OK
1,多額の負債をかかえる,たがくのふさいをかかえる,vướng phải 1 khoản nợ lớn,NG
1,経営不振,けいえいふしん,"tình trạng kinh doanh kém, kinh doanh thua lỗ, hoạt động kinh doanh trì trệ.",NG
1,会社が経営不振に陥る,かいしゃがけいえいふしんにおちいる,công ty rơi vào tình trạng kinh doanh trì trệ,Test
1,外国企業,がいこくきぎょう,doanh nghiệp/ công ty nước ngoài.,Test
1,～と提携を結ぶ,～とていけいをむすぶ,"hợp tác, liên kết với ~ (nhấn mạnh việc thiết lập quan hệ (bắt đầu ký kết))",NG
1,～と提携する,～とていけいする,"hợp tác, liên kết với ~ (nói đơn giản về quan hệ hợp tác đang tồn tại/đang diễn ra)",Test
1,譲歩,じょうほ,nhượng bộ,Test
1,迫る,せまる,"ép buộc, thúc giục, áp sát; đến gần; tiếp cận",OK
1,相手に譲歩を迫る,あいてにじょうほをせまる,dồn ép đối phương phải nhượng bộ,Test
1,譲歩を引き出す,じょうほをひきだす,giành được sự nhượng bộ,NG
1,妥結する,だけつする,thỏa hiệp,NG
1,交渉が妥結する,こうしょうがだけつする,cuộc đàm phán đạt được thỏa hiệp,NG
1,還元する,かんげんする,hoàn trả lại.hoàn tiền (thuế tiêu dùng. lợi nhuận cổ đông...),NG
1,利益を社会に還元する,りえきをしゃかいにかんげんする,hoàn trả lợi ích (của doanh nghiệp) cho xã hội,NG
1,産業,さんぎょう,"ngành công nghiệp, ngành sản xuất, ngành nghề kinh tế (Chỉ các hoạt động sản xuất ra sản phẩm hay dịch vụ trong xã hội.)",OK
1,~業に従事する,～ぎょうにじゅうじする,"theo đuổi (ngành nghề nào đó), làm trong ngành ~",Test
1,漁船,ぎょせん,thuyền đánh cá,NG
1,停泊する,ていはくする,neo đậu,Test
1,漁船が港に停泊する,ぎょせんがみなとにていはくする,thuyền cá thả neo ở bến cảng,NG
1,着工,ちゃっこう,khởi công,Test
1,～を製造する,～をせいぞうする,sản xuất ~,Test
1,貨物船,かもつせん,thuyền chở hàng,NG
1,工業地帯・地域,こうぎょうちたい・ちいき,vùng công nghiệp. khu công nghiệp,NG
1,輸送する,ゆそうする,vận chuyển,NG
1,農業,のうぎょう,ngành nông nghiệp,OK
1,林業,りんぎょう,ngành lâm nghiệp,OK
1,水産業,すいさんぎょう,ngành thủy sản,OK
1,鉱業,こうぎょう,ngành khai khoáng. khoáng sản,NG
1,建設業,けんせつぎょう,ngành xây dựng,NG
1,製造業,せいぞうぎょう,ngành sản xuất,OK
1,情報通信業,じょうほうつうしんぎょう,"ngành thông tin và truyền thông (bao gồm các hoạt động liên quan đến cung cấp thông tin, viễn thông, Internet, dịch vụ truyền dẫn dữ liệu.)",OK
1,運輸業,うんゆぎょう,ngành vận tải,NG
1,小売業,こうりぎょう,ngành bán lẻ,OK
1,金融、保険業,きんゆう、ほけんぎょう,ngành tài chính. bảo hiểm,OK
1,不動産業,ふどうさんぎょう,ngành bất động sản,Test
1,医療、福祉,いりょう、ふくし,y tế. phúc lợi,NG
1,教育、学習支援業,きょういく、がくしゅうしえんぎょう,ngành hỗ trợ giáo dục. học tập,OK
1,サービス業,さーびすぎょう,ngành dịch vụ,OK
1,重工業,じゅうこうぎょう,ngành công nghiệp nặng,NG
1,鉄鋼業,てっこうぎょう,công nghiệp gang thép,NG
1,機械工業,きかいこうぎょう,công nghiệp cơ khí,OK
1,造船業,ぞうせんぎょう,ngành công nghiệp đóng tàu,NG
1,軽工業,けいこうぎょう,ngành công nghiệp nhẹ,NG
1,繊維工業,せんいこうぎょう,công nghiệp dệt may,NG
1,食品工業,しょくひんこうぎょう,công nghiệp thực phẩm,Test
1,印刷業,いんさつぎょう,ngành in ấn,OK
1,財政赤字,ざいせいあかじ,thâm hụt tài chính,NG
1,砂漠地帯,さばくちたい,khu vực sa mạc,NG
1,引き上げる,ひきあげる,nâng lên. đề bạt. kéo lên. tăng mức. bổ nhiệm. phân công,Test
1,遊覧船,ゆうらんせん,thuyền du lịch.,OK
1,輸送船,ゆそうせん,thuyền chuyên chở. tàu vận chuyển,Test
1,段階的に,だんかいてきに,dần dần. từ từ. từng bước 1,Test
1,一気に,いっきに,"thẳng một mạch. một hơi, một cách nhanh chóng, vượt bậc",NG
1,どうにか/どうにか＝何とか：　どうにかなるだろう＝何とかなるだろう,どうにか / どうにかなるだろう,bằng cách nào đó.hiếm khi.cuối cùng thì (bằng cách nào đó rồi cũng sẽ được mà,NG
1,立法,りっぽう,lập pháp,NG
1,司法,しほう,tư pháp,OK
1,転換,てんかん,chuyển đổi,OK
1,促す,うながす,"thúc đẩy, khuyến khích",NG
1,政策の転換を促す,せいさくのてんかんをうながす,thúc đẩy thay đổi chính sách,OK
1,質疑,しつぎ,"chất vấn, đặt câu hỏi để làm rõ, thẩm vấn.",OK
1,異論,いろん,ý kiển khác/ ý kiến phản đối,OK
1,唱える,となえる,"đưa ra, đề cập. đề xướng. kiến nghị",NG
1,異論を唱える,いろんをとなえる,đưa ra ý kiến phản đối,Test
1,採決,さいけつ,bỏ phiếu,OK
1,議長が採決を取る,ぎちょうがさいけつをとる,chủ tọa tiến hành bỏ phiếu,OK
1,法案,ほうあん,luật dự thảo; dự thảo luật,Test
1,審議する,しんぎする,"thẩm nghị (họp bàn cấp quốc gia), Thảo luận kỹ, xem xét cẩn trọng trước khi quyết định",Test
1,採択する,さいたくする,"chấp thuận, thông qua, lựa chọn (một đề xuất, phương án, nghị quyết, v.v.)",NG
1,議題,ぎだい,chủ đề thảo luận,Test
1,制度を改革する,せいどをかいかくする,cải cách chế độ,OK
1,制定する,せいていする,"Ban hành, lập ra, quy định, thiết lập (thường nói về luật, quy tắc, chính sách, kế hoạch do tổ chức hoặc nhà nước chính thức đưa ra).",NG
1,法律を制定する,ほうりつをせいていする,ban hành luật,Test
1,司法整備する,しほうせいびする,"Xây dựng và hoàn thiện hệ thống tư pháp (bao gồm luật pháp, tòa án, thủ tục xét xử, cơ chế thực thi pháp luật…).",Test
1,法整備,ほうせいび,"xây dựng, soạn thảo pháp luật",Test
1,法律を整備する,ほうりつをせいびする,"Hoàn thiện, xây dựng, chỉnh đốn pháp luật",Test
1,法律を改定する,ほうりつをかいていする,sửa đổi điều luật,NG
1,法律を施行する,ほうりつをしこうする,thực thi điều luật,Test
1,行政,ぎょうせい,hành chính,OK
1,規制を緩和する,きせいをかんわする,nới lỏng quy định,Test
1,政府が声明を発表する,せいふがせいめいをはっぴょうする,chính phủ tuyên bố ~,Test
1,措置,そち,biện pháp,Test
1,活性化,かっせいか,"vực dậy, kích hoạt",OK
1,万全の～,ばんぜんの～,"hoàn hảo, toàn diện, chu đáo, không có điểm gì thiếu sót",Test
1,異例の~,いれいの～,"khác thường, bất thường, không theo thông lệ.",OK
1,寛大な～,かんだいな～,"khoan dung, rộng lượng, độ lượng.",Test
1,条約,じょうやく,hiệp định,Test
1,～に調印する,～にちょういんする,"ký kết mang tính quốc tế, quan trọng",OK
1,条約に調印する,じょうやくにちょういんする,ký kết hiệp định,NG
1,閣僚,かくりょう,"các quan chức đứng đầu các bộ, trực thuộc nội các",OK
1,協議,きょうぎ,sự đàm phán; sự thỏa thuận; sự hội đàm;,Test
1,腐敗する,ふはいする,"tham nhũng. mục nát, thối rữa",NG
1,政治が腐敗する,せいじがふはいする,nền chính trị mục nát,Test
1,申請する,しんせいする,đăng ký. xin cấp,Test
1,発給する,はっきゅうする,"cấp (visa, hộ chiếu)",OK
1,ビザを申請する,びざをしんせいする,xin cấp visa,Test
1,ビザを発給する,びざをはっきゅうする,cấp phát,OK
1,司法,しほう,cơ quan tư pháp,OK
1,訴訟を起こす,そしょうをおこす,"khởi kiện, tiến hành tố tụng, đưa ra vụ kiện.",NG
1,損害,そんがい,"thiệt hại, tổn thất",OK
1,賠償,ばいしょう,bồi thường,Test
1,検察,けんさつ,công tố viên/kiểm sát viên,NG
1,告訴する,こくそする,tố cáo,OK
1,保証,ほしょう,đảm bảo,OK
1,基本的人権,きほんてきじんけん,nhân quyền cơ bản,OK
1,判決,はんけつ,phán quyết,OK
1,下る,くだる,"đưa ra được phán quyết, giáng xuống, trôi qua",Test
1,判決が下る,はんけつがくだる,phán quyết được đưa ra,OK
1,死刑,しけい,tử hình,Test
1,懲役,ちょうえき,hình phạt tù giam với lao động cải tạo,NG
1,形成する,けいせいする,hình thành,NG
1,国家が形成する,こっかがけいせいする,quốc gia được hình thành,Test
1,異民族,いみんぞく,các dân tộc khác nhau; các chủng tộc khác nhau,NG
1,侵略する,しんりゃくする,xâm lược,NG
1,復興する,ふっこうする,"phục hưng, hồi phục lại",Test
1,戦争から復興する,せんそうからふっこうする,"tái thiết, phục hồi sau chiến tranh.",Test
1,古代文明,こだいぶんめい,văn minh cổ đại,NG
1,繁栄する,はんえいする,phồn vinh,NG
1,衰退する,すいたいする,suy thoái,Test
1,内戦,ないせん,nội chiến,Test
1,紛争,ふんそう,"xung đột, tranh chấp",NG
1,分断,ぶんだん,"chia cắt, sự phân tách",NG
1,東西,とうざい,phương đông và phương tây,Test
1,国が東西に分断される,くにがとうざいにぶんだんされる,đất nước bị chia cách thành 2 miền đông tây,Test
1,～を発掘する,～をはっくつする,~ khai quật,NG
1,遺跡,いせき,di tích,NG
1,住居跡,じゅうきょあと,địa điểm cư trú. địa điểm định cư (thời tiền sử),Test
1,軍事力,ぐんじりょく,sức mạnh quân đội,NG
1,増強する,ぞうきょうする,"tăng cường, củng cố",Test
1,漢民族,かんみんぞく,hán tộc,NG
1,遊牧民族,ゆうぼくみんぞく,dân du mục,NG
1,傷跡,きずあと,"vết sẹo, vết thương lòng",OK
1,再三,さいさん,5 lần 7 lượt; nhiều lần,OK
1,一向に,いっこうに,mãi không. không lắm. hoàn toàn (không),Test
1,大幅に,おおはばに,mạnh mẽ; rộng rãi. khá; tương đối,NG
1,抜本的に,ばっぽんてきに,"mạnh mẽ, triệt để; tận gốc",NG
1,強ち,あながち,"không hẳn là, không nhất thiết",NG
1,格差,かくさ,"khoảng cách, chênh lệch",Test
1,すり替える,すりかえる,"đánh trống lảng, đảo lộn, tráo",Test
1,急速に,きゅうそくに,nhanh chóng,Test
1,貧困層,ひんこんそう,tầng lớp nghèo. người nghèo,NG
1,富裕層,ふゆうそう,"tầng lớp giàu có, giới thượng lưu",NG
1,～が急速に広がる,～がきゅうそくにひろがる,lan ra nhanh chóng,OK
1,雇用,こよう,tuyển dụng; thuê người làm,OK
1,雇用の安定を図る,こようのあんていをはかる,ổn định công ăn việc làm,Test
1,健康保険,けんこうほけん,bảo hiểm sức khỏe,OK
1,～に加入する,～にかにゅうする,tham gia vào ~,OK
1,促進する,そくしんする,"thúc đẩy, khuyến khích, tăng cường",NG
1,女性の就業を促進する,じょせいのしゅうぎょうをそくしんする,thúc đẩy việc làm cho nữ giới,NG
1,推進する,すいしんする,"đẩy mạnh, xúc tiến, thúc đẩy",Test
1,年金,ねんきん,lương hưu,OK
1,受給する,じゅきゅうする,"hưởng, nhận được (tiền hoặc trợ cấp)",NG
1,支給する,しきゅうする,cung cấp. chu cấp. thanh toán. chi trả (lương...),Test
1,少子高齢化,しょうしこうれいか,tỷ lệ sinh giảm và già hóa dân số,Test
1,少子化,しょうしか,tỷ lệ sinh thấp,NG
1,高齢化,こうれいか,già hóa dân số,OK
1,出生率,しゅっせいりつ,tỉ lệ sinh,Test
1,未婚率,みこんりつ,tỉ lệ người chưa kết hôn,Test
1,～が低下する,～がていかする,"giảm, suy giảm, kém đi",Test
1,～が上昇する,～がじょうしょうする,tăng lên,NG
1,平均寿命,へいきんじゅみょう,tuổi thọ trung bình,NG
1,～が延びる,～がのびる,giãn ra; tăng lên; phát triển lên; (thời gian) kéo dài thêm,OK
1,長寿国,ちょうじゅこく,nước có tuổi thọ cao,NG
1,世界一,せかいいち,nhất thế giới,Test
1,還暦,かんれき,"lên lão, tròn 60 tuổi",Test
1,還暦を迎える,かんれきをむかえる,mừng lên lão  60,Test
1,人口構造,じんこうこうぞう,cơ cấu dân số,Test
1,介護福祉士,かいごふくしし,nhân viên chăm sóc/ điều dưỡng (có bằng chứng nhận),NG
1,介護士,かいごし,điều dưỡng viên (chăm sóc người già ...),NG
1,高齢者,こうれいしゃ,người cao tuổi,Test
1,～を介護する,～をかいごする,"chăm sóc, trông nom (người cao tuổi)",OK
1,ケアする,けあする,"chăm sóc, trông",Test
1,看護する,かんごする,"chăm sóc bệnh nhân, hỗ trợ trong quá trình điều trị",NG
1,父母,ふぼ,cha mẹ,Test
1,～が老いる,～がおいる,già đi già theo tuổi tác,Test
1,老ける,ふける,"già đi, già dặn (vẻ bề ngoài so với tuổi, suy nghĩ già dặn)",Test
1,若返る,わかがえる,trẻ lại,NG
1,老後,ろうご,"tuổi già, khi về già",OK
1,老後に備えて貯金する,ろうごにそなえてちょきんする,tiết kiệm tiền phòng khi tuổi già,NG
1,乳幼児,にゅうようじ,trẻ sơ sinh,Test
1,激減する,げきげんする,giảm mạnh,NG
1,激増する,げきぞうする,tăng mạnh,NG
1,産休,さんきゅう,"nghỉ sinh, nghỉ thai sản",Test
1,産前産後休暇,さんぜんさんごきゅうか,nghỉ trước và sau sinh đẻ,Test
1,育休,いくきゅう,nghỉ để chăm sóc con nhỏ (sau thời gian nghỉ thai sản),OK
1,育児休暇,いくじきゅうか,nghỉ thai sản (nuôi con nhỏ),Test
1,福利厚生,ふくりこうせい,chế độ phúc lợi,Test
1,充実させる,じゅうじつさせる,làm cho đủ đầy. phong phú. trọn vẹn. ý nghĩa.,Test
1,会社が福利厚生/を充実させる,かいしゃがふくりこうせい/をじゅうじつさせる,công ty làm phong phú chế độ phúc lợi,NG
1,取り組む,とりくむ,nỗ lực. chuyên tâm (giải quyết vấn đề),Test
1,軽視する,けいしする,xem nhẹ.coi thường. khinh thường,NG
1,重視する,じゅうしする,coi trọng...,Test
1,両立させる,りょうりつさせる,cân bằng (giữa công việc và gia đình),Test
1,こなす,こなす,"nắm vững. thành thạo. thành thục (công việc, nhiệm vụ)",Test
1,先進国,せんしんこく,nước phát triển,NG
1,発展途上国,はってんとじょうこく,nước đang phát triển,NG
1,若年層,じゃくねんそう,tầng lớp trẻ,NG
1,中高年層,ちゅうこうねんそう,lứa tuổi trung niên,NG
1,平均年齢,へいきんねんれい,độ tuổi trung bình,Test
1,保育士,ほいくし,giáo viên mầm non. người giáo viên mầm non,OK
1,長期休暇,ちょうききゅうか,nghỉ phép kéo dài. kỳ nghỉ dài,OK
1,産業構造,さんぎょうこうぞう,cơ cấu ngành nghề công nghiệp,Test
1,失業者,しつぎょうしゃ,người thất nghiệp,OK
1,障害者,しょうがいしゃ,người khuyết tật,OK
1,てきぱき,てきぱき,nhanh nhẹn. tháo vát. thạo việc,Test
1,いよいよ,いよいよ,ngày càng. cuối cùng điều mong chờ cũng tới,NG
1,しっかり,しっかり,chặt chẽ. chắc chắn. mạnh mẽ,NG
1,めっきり,めっきり,rõ ràng. đột ngột. thấy rõ. cực kỳ. kinh khủng,NG
